('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         646801 function calls (620515 primitive calls) in 1.394 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      152    0.551    0.004    0.551    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.226    0.226    0.226    0.226 {built-in method posix.system}
      242    0.067    0.000    0.067    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.035    0.035    0.035    0.035 {method 'do_handshake' of '_ssl._SSLSocket' objects}
       25    0.035    0.001    0.036    0.001 {built-in method _imp.create_dynamic}
        1    0.032    0.032    0.032    0.032 {method 'connect' of '_socket.socket' objects}
 3444/234    0.026    0.000    0.076    0.000 sre_parse.py:469(_parse)
      242    0.020    0.000    0.020    0.000 {built-in method marshal.loads}
 4479/195    0.014    0.000    0.041    0.000 sre_compile.py:71(_compile)
     1002    0.013    0.000    0.017    0.000 sre_compile.py:276(_optimize_charset)
     1206    0.012    0.000    0.012    0.000 {built-in method posix.stat}
  771/768    0.011    0.000    0.098    0.000 {built-in method builtins.__build_class__}
    12112    0.010    0.000    0.010    0.000 {method 'match' of 're.Pattern' objects}
      242    0.010    0.000    0.076    0.000 <frozen importlib._bootstrap_external>:914(get_data)
72578/72568    0.008    0.000    0.010    0.000 {built-in method builtins.isinstance}
        1    0.008    0.008    0.008    0.008 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
    23599    0.008    0.000    0.008    0.000 sre_parse.py:233(__next)
    25721    0.008    0.000    0.011    0.000 sre_parse.py:164(__getitem__)
     1273    0.008    0.000    0.042    0.000 parser.py:301(parse_starttag)
 4755/644    0.007    0.000    0.009    0.000 sre_parse.py:174(getwidth)
        1    0.006    0.006    0.007    0.007 {built-in method _socket.getaddrinfo}
57291/51764    0.006    0.000    0.007    0.000 {built-in method builtins.len}
        2    0.006    0.003    0.070    0.035 parser.py:134(goahead)
       28    0.006    0.000    0.006    0.000 {built-in method posix.listdir}
    64636    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
    322/1    0.005    0.000    1.394    1.394 {built-in method builtins.exec}
 1361/196    0.005    0.000    0.076    0.000 sre_parse.py:411(_parse_sub)
      159    0.005    0.000    0.005    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     1274    0.005    0.000    0.012    0.000 element.py:1180(__init__)
      577    0.004    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
    15515    0.004    0.000    0.010    0.000 sre_parse.py:254(get)
     3067    0.004    0.000    0.011    0.000 element.py:2096(search_tag)
      876    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x103087d50}
      105    0.003    0.000    0.003    0.000 {built-in method posix.getcwd}
        1    0.003    0.003    0.027    0.027 dammit.py:70(_populate_class_variables)
        1    0.003    0.003    0.003    0.003 {built-in method _scproxy._get_proxies}
     1273    0.003    0.000    0.018    0.000 __init__.py:694(handle_starttag)
    11965    0.003    0.000    0.005    0.000 sre_parse.py:249(match)
     4125    0.003    0.000    0.015    0.000 element.py:2159(search)
     3716    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
     1273    0.003    0.000    0.022    0.000 _htmlparser.py:122(handle_starttag)
     3633    0.003    0.000    0.005    0.000 typing.py:709(__setattr__)
4090/1761    0.003    0.000    0.004    0.000 typing.py:669(__hash__)
      242    0.003    0.000    0.106    0.000 <frozen importlib._bootstrap_external>:793(get_code)
     1204    0.002    0.000    0.014    0.000 parser.py:386(parse_endtag)
    10320    0.002    0.000    0.003    0.000 sre_parse.py:160(__len__)
10336/10313    0.002    0.000    0.004    0.000 {built-in method builtins.hasattr}
      965    0.002    0.000    0.005    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
       23    0.002    0.000    0.005    0.000 enum.py:140(__new__)
     1274    0.002    0.000    0.003    0.000 __init__.py:544(pushTag)
     1273    0.002    0.000    0.005    0.000 __init__.py:660(_popToTag)
    11307    0.002    0.000    0.002    0.000 {built-in method builtins.min}
      472    0.002    0.000    0.003    0.000 css_types.py:40(__init__)
     4410    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
1717/1685    0.002    0.000    0.005    0.000 element.py:2192(_matches)
     2140    0.002    0.000    0.002    0.000 element.py:157(setup)
     3058    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
     5065    0.002    0.000    0.002    0.000 sre_parse.py:111(__init__)
     9837    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
      823    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
      338    0.002    0.000    0.130    0.000 re.py:273(_compile)
      440    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     4962    0.002    0.000    0.003    0.000 _markupbase.py:48(updatepos)
       41    0.002    0.000    0.019    0.000 element.py:779(_find_all)
      487    0.002    0.000    0.008    0.000 typing.py:608(__init__)
      284    0.002    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
     1273    0.002    0.000    0.002    0.000 __init__.py:530(popTag)
     3058    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
    11949    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
     3399    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
      287    0.002    0.000    0.038    0.000 <frozen importlib._bootstrap>:882(_find_spec)
     4698    0.002    0.000    0.002    0.000 sre_parse.py:286(tell)
7536/4257    0.002    0.000    0.003    0.000 {built-in method builtins.hash}
     6206    0.002    0.000    0.002    0.000 sre_parse.py:172(append)
      161    0.002    0.000    0.567    0.004 http11.py:171(_receive_event)
     5385    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
      888    0.002    0.000    0.003    0.000 typing.py:113(_type_check)
2074/2000    0.001    0.000    0.020    0.000 typing.py:248(inner)
      484    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
    293/3    0.001    0.000    0.411    0.137 <frozen importlib._bootstrap>:978(_find_and_load)
     2916    0.001    0.000    0.001    0.000 {method 'count' of 'str' objects}
     2551    0.001    0.000    0.005    0.000 __init__.py:558(endData)
      365    0.001    0.000    0.001    0.000 sre_compile.py:413(<listcomp>)
5440/5439    0.001    0.000    0.007    0.000 {built-in method builtins.next}
     6072    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     3633    0.001    0.000    0.002    0.000 typing.py:595(_is_dunder)
     1002    0.001    0.000    0.002    0.000 sre_compile.py:249(_compile_charset)
     1273    0.001    0.000    0.004    0.000 parser.py:352(check_for_whole_start_tag)
      477    0.001    0.000    0.001    0.000 contextlib.py:81(__init__)
  312/311    0.001    0.000    0.003    0.000 _readers.py:137(__call__)
      270    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
       25    0.001    0.000    0.003    0.000 __init__.py:316(namedtuple)
    270/3    0.001    0.000    0.411    0.137 <frozen importlib._bootstrap>:663(_load_unlocked)
     1093    0.001    0.000    0.002    0.000 sre_parse.py:295(_class_escape)
      164    0.001    0.000    0.001    0.000 _events.py:31(__init__)
      325    0.001    0.000    0.004    0.000 css_parser.py:1115(selector_iter)
      125    0.001    0.000    0.002    0.000 sre_compile.py:492(_get_charset_prefix)
     4279    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     3224    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     1273    0.001    0.000    0.009    0.000 __init__.py:735(handle_endtag)
        2    0.001    0.000    0.001    0.000 {built-in method _codecs.utf_8_decode}
      440    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
     5995    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
